学号,姓名,e1,e2,e3,高等数学1-1 [4],高等数学1-2 [5],线性代数 [3],大学物理4-1 [3],信息技术导论 [2],高级语言程序设计 [3],高级语言程序设计实验 [1],面向对象程序设计 [3],计算机组成原理 [3],离散数学 [4],汇编语言程序设计 [2],汇编语言程序设计实验 [1],程序设计训练 [1],计算机组成原理课程设计 [1],数字系统与逻辑设计 [3],数字系统与逻辑设计实验 [1],JAVA语言程序设计 [3],计算机专业认知 [.5],思想道德修养与法律基础 [3],中国近现代史纲要 [2],马克思主义基本原理概论 [3],毛泽东思想和中国特色社会主义理论体系概论（1） [3],贵州省情 [1],体育1 [1],大学生职业生涯规划 [.5],军事理论及军事训练 [2],大学生心理健康 [1]
2018182811,刘九一,93,89,81,89,92,92,96,87,98,优秀,95,95,93,优,优,优秀,优秀,93,良好,99,100,82,95,89,87,85,85,92,82,79
2018182812,刘九二,83,91,84,,,100,94,,92,优秀,,87,92,优,优,,80,,,90,,87,85,90,94,92,79,94,85,84
2018182813,张三七,80,89,84,,,98,94,,87,良好,,94,90,优,优,,良好,,,99,,84,87,88,94,93,97,95,90,90
2018182814,张五六,79,86,70,70,96,87,85,91,95,90,95,85,90,优,优,优秀,90,89,90,99,100,84,91,91,93,72,87,74,85,91
2018182815,李七四,90,90,84,89,97,97,,,84,及格,,95,88,中,优,,优秀,,,69,,88,93,92,91,76,79,91,86,72
2018182816,杨八八,84,83,85,88,96,96,89,90,95,90,89,88,85,优,优,优秀,90,81,90,99,100,82,89,91,92,83,89,77,88,93
2018182817,李四七,83,85,78,79,76,83,81,93,96,优秀,93,94,86,优,优,优秀,90,97,优秀,99,100,88,92,90,92,85,92,94,90,90
2018182818,张六五,86,85,87,83,91,,,,,优,,95,85,优,优,,90,,,99,,87,93,92,85,80,75,90,86,89
2018182819,王五二,90,93,84,91,92,88,87,,90,中等,,85,89,,,,良好,,,81,,87,80,90,90,92,75,92,81,85
2018182820,王七二,82,84,73,93,86,91,89,优秀,92,优秀,86,94,86,优,优,优秀,90,88,90,99,100,85,89,90,78,72,89,75,85.5,81
2018182821,杨四八,78,83,67,95,81,,,,,优秀,,96,87,优,优,,优秀,,,99,,85,94,94,81,90,,90,82,91
2018182822,杨五七,76,89,86,89,77,85,80,89,91,良好,86,95,81,优,优,85,90,87,优秀,99,100,87,92,91,88,81,,85,85,88
2018182823,杨五九,83,83,78,83,89,78,,,88,优秀,,90,84,优,良,,90,,,99,,89,93,85,81,87,94,95,92,81
2018182824,李九九,82,82,80,85,85,86,91,86,89,80,92,97,84,良,良,优秀,优秀,84,90,87,100,80,91,93,91,84,77,80,88,87
2018182825,李二七,88,71,80,95,87,94,98,91,91,优,84,82,89,中,优,良好,良好,84,90,81,100,85,92,85,83,93,82,82,90.5,86
